Progress,Duration (in seconds),age,qqm,gender,gender_3_TEXT,oc_stat,RS_1,RS_2,RS_3,RS_4,RS_5,RS_6,RS_7,RS_8,RS_9,RS_10,RS_11,RS_12,RS_13,RS_14,RS_15,RS_16,RS_17,RS_18,RS_19,RS_20,RS_21,RS_22,RS_23,RS_24,RS_25,RIES_1,RIES_2,RIES_3,RIES_4,RIES_5,RIES_6,RIES_7,RIES_8,RIES_9,RIES_10,RIES_11,RIES_12,RIES_13,RIES_14,RIES_15,RIES_16,RIES_17,RIES_18,RIES_19,RIES_20,RIES_21,RIES_22,RIES_23,RIES_24,RIES_25
82,655,27,2,1,,1,6,3,2,3,2,6,2,2,2,2,4,4,2,6,6,3,3,2,3,3,3,6,2,5,2,2,4,4,4,5,2,2,2,2,2,4,2,4,2,4,2,2,4,4,4,3,2,4,3,2
82,272,20,2,2,,3,2,2,1,3,3,3,3,3,4,2,4,2,2,4,2,2,6,3,3,2,2,6,2,3,6,3,2,2,2,1,2,1,4,3,3,2,4,3,1,3,4,2,2,2,2,1,1,2,2,2
82,4218,56,2,2,,1,1,2,2,2,2,1,2,3,1,2,1,1,2,2,2,3,2,1,6,2,1,6,2,2,6,1,5,1,1,5,1,5,1,2,5,4,4,2,1,1,1,4,4,1,5,1,5,2,1,1
82,128722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,577,20,2,1,,3,1,1,2,1,1,2,3,4,2,3,4,5,1,1,3,1,3,1,1,1,2,4,1,4,1,2,5,1,5,3,1,3,4,4,5,2,3,5,2,1,2,1,1,1,4,5,3,4,3,3
82,300,23,2,2,,3,1,2,4,1,2,2,3,4,2,1,5,5,2,2,2,3,5,2,1,2,2,6,2,2,3,2,2,4,4,2,1,2,3,1,3,1,2,1,2,2,1,2,2,1,4,1,2,1,2,1
82,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,774,21,2,2,,3,3,2,5,3,4,2,4,4,5,3,6,5,1,5,4,3,5,4,3,3,4,5,3,5,4,5,2,4,2,1,2,2,3,4,2,4,4,4,4,4,4,1,4,4,2,1,2,2,2,2
82,329,20,2,2,,3,3,4,7,2,2,2,3,6,2,2,6,2,3,6,3,2,6,1,2,2,3,3,4,2,7,3,4,3,3,3,2,3,3,3,2,2,4,3,2,3,2,2,2,2,4,4,3,5,2,3
82,482,,2,2,,1,2,3,1,2,1,2,4,1,2,2,4,6,2,2,4,2,2,2,2,1,1,4,5,3,2,1,2,3,2,2,5,2,3,4,2,2,1,2,1,3,2,2,2,3,1,3,1,2,3,2
82,302,18,2,2,,3,3,1,1,3,1,6,2,5,4,4,7,3,2,1,6,3,6,6,2,1,5,2,3,2,2,2,3,2,5,5,1,5,1,2,3,5,2,,3,4,1,5,2,2,4,5,3,5,1,5
82,475,,2,2,,1,2,1,1,2,2,1,2,2,2,2,5,3,2,1,3,2,3,2,2,5,1,3,2,2,2,2,4,1,4,4,2,4,2,2,4,3,3,5,2,2,2,4,1,3,5,4,1,4,1,3
82,392,21,2,2,,1,1,1,1,2,2,3,2,2,2,1,2,3,2,2,2,2,1,2,3,1,3,5,1,2,2,2,5,3,5,3,1,3,2,2,4,3,3,4,2,3,2,2,1,1,4,4,3,4,1,4
82,851,19,2,1,,3,5,3,5,2,5,2,5,5,7,4,3,2,6,6,2,1,6,6,2,2,6,6,2,2,2,2,3,5,3,4,2,3,3,3,4,4,5,4,2,4,3,1,3,5,4,4,4,4,4,4
82,1123,21,2,2,,2,2,3,3,3,2,5,4,7,5,4,5,3,3,3,5,3,6,2,2,2,7,5,3,6,1,3,4,4,5,4,2,4,4,4,4,3,4,2,3,2,2,2,2,2,4,3,2,2,2,3
82,247,24,2,1,,1,3,2,3,2,3,2,3,2,2,3,2,3,3,3,3,2,3,3,2,3,2,6,3,3,2,2,4,2,2,4,2,4,4,2,4,2,4,4,2,2,2,2,2,2,2,4,4,2,3,4
82,182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,398,22,2,2,,3,5,3,6,2,2,1,6,6,6,2,6,6,5,5,6,2,5,3,3,3,3,5,2,6,6,4,2,1,4,2,1,2,4,4,4,2,2,4,2,4,4,1,4,5,4,2,4,2,2,5
82,413,25,2,2,,1,3,3,3,2,2,4,5,4,5,4,6,2,4,5,3,3,5,3,3,2,4,5,3,5,4,2,1,4,3,1,2,2,2,4,2,4,2,3,2,4,3,2,4,4,2,1,2,1,3,1
82,306,21,2,2,,3,6,5,5,3,2,5,4,4,6,6,6,5,4,7,6,3,6,4,2,4,6,6,3,7,2,5,2,5,3,2,2,1,3,5,3,4,1,1,4,5,4,2,4,4,2,4,3,4,2,2
82,81,26,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,587,29,2,2,,2,2,1,2,2,1,3,2,1,1,1,1,3,1,2,3,1,2,1,1,3,7,4,1,3,1,1,5,3,5,1,1,3,3,2,3,1,5,5,1,2,1,2,2,2,4,1,5,3,1,3
82,686,32,2,2,,4,5,2,6,3,3,3,6,4,3,3,6,3,4,6,4,4,5,5,3,4,1,6,5,5,3,3,2,2,1,2,2,1,3,4,2,4,5,5,2,3,2,1,4,5,2,1,2,2,3,3
82,295,19,2,2,,3,3,2,1,2,1,2,3,2,3,2,2,3,1,3,2,2,3,2,3,2,2,3,2,4,3,2,3,3,3,4,3,3,4,3,3,3,2,4,2,2,3,3,2,3,3,2,4,2,3,2
82,482,19,2,1,,3,3,3,4,2,2,3,4,2,4,3,2,3,2,3,2,2,2,2,3,2,2,4,3,3,2,2,3,3,3,4,2,3,3,4,3,3,3,3,2,3,2,2,2,3,3,4,3,2,3,3
82,438,19,2,1,,3,1,1,1,2,1,1,2,1,1,2,2,3,1,1,1,1,3,1,1,2,1,2,1,1,2,3,1,1,4,5,1,1,1,3,1,3,3,1,1,1,2,1,1,1,3,4,2,1,1,2
82,635,21,2,1,,3,1,1,2,2,1,6,3,4,5,1,5,6,3,2,2,4,3,2,2,1,3,6,3,3,6,2,4,2,4,2,2,4,4,2,1,2,2,3,2,4,2,4,2,2,4,2,2,2,2,2
82,218,21,2,1,,3,3,5,5,3,3,4,4,4,6,6,1,5,2,7,2,1,5,3,4,5,4,5,3,3,3,4,1,2,3,3,2,2,2,3,3,3,3,2,1,3,3,2,4,2,2,3,2,2,1,2
82,397,19,2,2,,3,2,2,2,2,2,5,4,6,2,2,3,2,4,4,4,1,2,2,4,2,2,4,2,6,5,4,4,3,3,2,4,4,3,2,4,1,2,4,2,2,3,2,2,2,4,4,5,2,2,3
82,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,332,20,2,2,,3,1,2,1,1,1,3,4,3,2,1,7,5,2,2,2,2,5,1,2,3,4,5,3,5,2,2,2,2,4,1,1,3,5,2,4,2,5,2,3,3,2,2,2,2,2,2,2,2,4,1
82,6384,19,2,2,,3,3,1,4,5,3,2,1,4,5,2,3,1,2,2,4,4,3,3,2,1,3,4,2,3,6,3,2,2,3,2,1,3,4,3,4,2,3,5,2,3,3,1,5,3,4,2,2,2,2,2
82,2146,25,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,793,20,2,2,,3,3,2,3,2,2,2,2,3,2,2,5,2,2,2,2,2,3,2,2,3,1,3,2,2,4,2,2,2,4,4,3,4,2,3,4,2,3,3,2,2,3,2,3,3,4,3,2,4,2,4
82,11261,19,2,2,,3,2,2,6,4,1,3,3,2,5,5,6,2,3,6,3,3,6,2,2,5,2,6,3,6,2,2,3,2,4,5,1,4,4,1,2,4,5,4,1,3,3,2,2,2,3,4,2,4,3,3
82,470,24,2,2,,1,2,2,2,2,4,1,3,2,2,2,4,4,5,2,2,3,3,3,3,2,1,3,2,2,4,3,3,2,4,3,2,3,3,2,3,3,4,5,2,2,1,2,2,2,4,3,4,4,2,3
82,365,23,2,2,,2,1,1,1,1,1,2,2,5,1,1,2,2,1,2,2,1,3,2,1,1,4,1,3,1,2,2,2,1,4,5,1,4,2,2,5,2,4,5,1,1,1,4,2,2,2,4,5,5,2,3
82,67,19,1,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,479,58,2,2,,4,1,2,2,1,2,1,3,1,3,1,2,4,2,2,1,3,3,2,2,2,1,3,2,2,2,3,3,1,2,3,2,3,2,2,4,3,2,4,1,3,2,3,2,2,2,3,4,4,2,4
82,460,44,2,2,,1,3,2,3,1,2,3,2,2,3,3,4,4,3,2,2,2,3,1,1,4,2,3,2,2,3,2,2,2,4,3,2,3,2,2,5,1,5,5,1,3,2,1,2,2,3,3,4,3,2,3
82,484,21,2,1,,1,2,2,2,2,1,2,3,2,3,2,4,2,3,2,2,2,3,2,3,2,1,5,3,2,4,2,2,2,3,4,2,2,2,2,4,2,3,3,2,2,3,1,2,2,3,4,4,4,2,4
82,350,26,2,1,,3,2,2,2,3,1,2,1,4,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,2,5,2,4,3,5,3,1,4,2,2,4,2,4,4,2,3,2,1,2,2,4,4,4,2,2,3
82,299,20,2,1,,3,2,3,5,1,2,5,2,2,7,4,3,2,5,5,3,3,3,4,4,5,2,7,3,7,5,4,4,3,4,4,3,2,4,4,4,2,2,2,2,2,2,3,2,3,2,4,2,5,3,4
82,237,22,2,1,,3,2,2,5,2,5,3,5,3,5,1,3,3,5,3,3,3,3,3,2,3,5,2,5,5,1,3,2,2,2,5,2,2,3,5,5,2,1,2,4,3,2,3,3,4,2,5,4,3,2,2
82,439,43,2,2,,1,2,2,4,1,1,1,2,3,2,1,1,3,1,2,1,1,1,1,2,3,1,3,2,2,3,2,5,1,4,4,2,3,3,2,5,2,4,4,4,3,2,1,2,1,5,4,5,3,1,2
82,828,21,2,2,,3,6,3,2,3,1,2,4,1,3,2,3,3,6,6,2,2,2,3,1,3,3,7,3,6,2,2,1,4,1,4,3,2,4,4,2,2,1,4,1,3,2,1,5,2,4,4,4,3,3,2
82,673,19,2,1,,3,2,2,1,1,2,1,3,4,2,2,3,2,1,2,2,2,5,3,5,2,3,5,2,2,5,2,4,2,5,4,2,5,2,2,4,2,4,4,1,3,1,4,2,2,4,4,4,3,1,3
82,376,20,2,1,,3,2,1,5,2,2,1,4,3,4,3,3,4,1,1,2,1,3,2,2,1,1,2,2,1,1,4,3,3,4,1,2,2,3,2,3,4,1,3,2,2,1,2,4,3,4,1,3,2,2,2
82,609038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,1500,26,2,2,,2,3,2,1,2,2,2,6,3,2,2,3,4,2,2,2,3,1,1,2,1,2,4,2,4,1,2,2,3,2,3,2,3,2,2,4,2,1,2,1,1,3,2,3,3,1,3,3,3,2,4
82,1213,27,2,2,,3,3,2,1,1,5,1,3,2,2,1,4,2,3,5,2,1,2,2,1,2,2,5,3,5,3,4,1,2,2,2,4,2,4,2,4,2,2,4,1,2,2,3,2,2,4,2,4,2,2,2
82,495,29,2,2,,1,2,1,1,6,1,2,3,2,2,3,5,2,2,3,4,1,2,1,2,3,1,3,2,1,1,3,2,2,3,4,2,3,2,3,3,2,3,4,1,1,2,1,3,1,4,4,4,4,1,4
82,421,21,2,2,,3,3,1,1,2,3,1,2,1,2,1,4,1,1,2,3,1,2,3,2,2,1,4,1,3,2,2,1,3,3,2,3,2,2,2,4,3,4,2,1,2,2,4,2,2,2,3,4,3,1,3
82,643,19,2,2,,1,2,3,1,3,1,3,3,4,2,1,5,3,2,2,2,2,3,2,2,3,3,5,2,5,5,2,4,2,4,1,2,2,2,1,4,2,1,2,2,3,2,4,1,1,5,1,4,1,1,2
82,347,20,2,2,,3,2,1,3,4,1,3,3,1,5,2,5,6,2,3,2,2,1,2,2,2,1,2,3,2,1,2,4,2,3,2,1,4,4,4,5,2,4,5,2,2,2,2,2,2,4,1,5,2,2,2
100,202,99,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,813,22,2,3,,1,5,1,3,3,1,5,3,1,5,4,1,1,6,5,3,1,3,3,2,3,4,2,1,2,1,3,3,3,4,5,2,3,1,3,4,1,2,4,1,4,2,2,2,2,2,5,4,5,3,5
100,262,20,2,3,fluid,3,3,2,2,2,2,1,6,3,7,2,1,3,2,2,2,3,2,5,5,2,1,1,2,7,6,5,1,2,2,2,4,2,5,4,2,4,2,1,4,2,5,1,4,4,4,2,2,2,2,2
100,345,22,2,3,Genderfluid,3,5,3,3,2,2,2,5,2,5,5,3,3,6,6,3,2,3,2,3,3,1,2,2,6,3,2,2,4,2,2,3,2,2,4,2,2,2,2,1,3,1,2,3,4,2,2,2,2,4,2
100,5605,23,2,3,Genderfluid,5,3,2,2,2,2,2,3,2,5,5,3,2,5,6,2,3,3,4,1,2,2,6,3,3,3,2,3,2,4,4,1,4,2,1,5,2,2,5,2,2,2,4,2,2,4,4,4,2,2,3
100,493,25,2,3,,1,4,4,4,4,1,4,4,7,4,4,1,5,4,4,4,4,4,4,4,4,4,4,4,5,1,3,3,3,3,5,3,3,3,3,3,3,3,5,5,5,5,3,3,3,3,5,3,4,3,5
100,410,,2,3,no gender ,3,4,3,2,3,2,4,5,5,4,5,6,3,1,3,3,2,4,2,2,3,4,6,3,5,2,2,2,3,3,3,2,4,2,3,3,2,1,2,3,3,2,5,2,3,3,2,4,1,3,1
100,296,20,2,3,Non Binary,3,5,3,2,3,1,3,4,7,3,5,1,4,2,7,5,5,7,2,3,6,3,2,5,7,7,3,1,5,2,1,4,2,4,2,2,4,4,2,4,3,4,4,5,5,2,1,2,1,4,1
100,272,20,2,3,Non binary,4,4,2,6,3,2,3,3,5,5,3,6,3,3,6,4,3,6,2,3,2,3,7,3,5,3,4,2,4,3,1,4,2,3,4,3,2,1,2,4,3,4,2,2,4,2,1,4,1,2,1
100,336,21,2,3,Non binary trans masculine ,2,5,3,5,1,1,6,4,1,3,6,1,3,3,7,5,2,2,3,2,5,4,6,3,6,6,4,2,2,4,1,5,1,3,5,1,2,,3,1,5,4,3,5,3,2,1,1,1,4,1
100,566,19,2,3,Nonbinary,3,5,5,2,1,1,3,7,7,6,3,7,3,2,3,4,3,7,5,3,3,5,7,6,6,3,4,1,4,2,1,4,1,4,5,1,5,2,2,4,5,4,3,4,4,1,1,1,1,2,1
100,1606,21,2,3,non-binary,3,2,4,3,2,5,2,5,3,3,2,5,3,2,5,3,2,4,3,2,3,2,4,4,4,4,2,2,4,2,1,2,1,3,3,2,3,4,5,2,2,2,2,2,2,3,1,3,2,2,1
